Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],I goin make a green xxx,xxx,object,xxx,object,object,?,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],dis this make me dis this make me eat,me,pronoun,me,pronoun,pronoun,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],dis this sometimes makes me cry,me,pronoun,me,pronoun,pronoun,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],dis this make it go round de the merry,,,,,0,,,
Brown,adam23.xml,['Adam'],make|makes|making|maked,['P3Y1M26D'],watch Mommy make it,,,,,0,,,
Brown,adam24.xml,['Adam'],make|makes|making|maked,['P3Y2M9D'],Mommy make something,something,pronoun,something,pronoun,pronoun,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],uh I make a birdie,birdie,object,birdie,object,object,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],oh what dis this drum make like,drum,object,drum,object,object,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],we can make some other mail,mail,object,mail,object,object,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],are you making a moon of a moon of a moon,moon,object,moon,object,object,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],Mommy we can make another moon,moon,object,moon,object,object,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],can we make some more paper now,paper,object,paper,object,object,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],can we make some more paper,paper,object,paper,object,object,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],don't make a stamp,stamp,object,stamp,object,object,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],we can make some more,some ,pronoun,some ,pronoun,pronoun,,,
Brown,adam25.xml,['Adam'],make|makes|making|maked,['P3Y2M21D'],dat that will make you better,you,pronoun,you,pronoun,pronoun,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],an make him sick,sick,event,sick,event,event,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],we can make the bird fly,bird,object,bird,object,object,,,
